Model,Precision,Recall,f1 score,Accuracy,ROC-AUC,Training time (sec)
XGBoost,9844.0,9898.0,9871.0,9900.0,9898.0,10.97
SVM (RBF),9879.0,9789.0,9833.0,9873.0,9789.0,10.24
SVM (Linear),9868.0,9801.0,9833.0,9873.0,9801.0,0.15
Logistic Regr.,9861.0,9644.0,9746.0,9809.0,9644.0,2.02
MultinomialNB,9851.0,9563.0,9696.0,9773.0,9563.0,0.01
Gradient Boosting,9787.0,9620.0,9699.0,9773.0,9620.0,24.85
Random Forest,9808.0,9487.0,9634.0,9727.0,9487.0,3.64
Decision Tree,9587.0,9459.0,9521.0,9636.0,9459.0,1.63
KNN,9625.0,9350.0,9477.0,9609.0,9350.0,0.31
Cnn with word embeddings,98.65,98.93,99.22,99.18,98.65,54.47
Ann with word embeddings,98.88,98.94,98.99,99.18,98.88,48.53
Rnn with word embeddings,97.89,98.33,98.79,98.73,97.89,119.11
Cnn with GLOVE embeddings,97.99,97.88,97.77,98.36,97.99,942.53
Rnn with GLOVE embeddings,97.75,97.64,97.54,98.18,97.75,3592.29
Rnn with GLOVE embeddings 2,96.3,96.78,97.28,97.54,96.3,4142.67
Cnn with GLOVE embeddings 2,96.01,96.65,97.33,97.45,96.01,202.71
Ann with GLOVE embeddings,91.09,88.1,86.23,90.17,91.09,806.91
Ann with GLOVE embeddings 2,70.85,74.61,89.54,84.53,70.85,318.35
