params,mean_test_score
"{'leaf_size': 20, 'n_neighbors': 5, 'p': 2}",0.973387864982398
"{'leaf_size': 5, 'n_neighbors': 5, 'p': 2}",0.973387864982398
"{'leaf_size': 25, 'n_neighbors': 5, 'p': 2}",0.973387864982398
"{'leaf_size': 30, 'n_neighbors': 5, 'p': 2}",0.973387864982398
"{'leaf_size': 10, 'n_neighbors': 5, 'p': 2}",0.973387864982398
"{'leaf_size': 15, 'n_neighbors': 5, 'p': 2}",0.973387864982398
"{'leaf_size': 20, 'n_neighbors': 15, 'p': 2}",0.9706554151998344
"{'leaf_size': 25, 'n_neighbors': 15, 'p': 2}",0.9706554151998344
"{'leaf_size': 15, 'n_neighbors': 15, 'p': 2}",0.9706554151998344
"{'leaf_size': 10, 'n_neighbors': 15, 'p': 2}",0.9706554151998344
"{'leaf_size': 30, 'n_neighbors': 15, 'p': 2}",0.9706554151998344
"{'leaf_size': 5, 'n_neighbors': 15, 'p': 2}",0.9706554151998344
"{'leaf_size': 15, 'n_neighbors': 10, 'p': 2}",0.9699715261958998
"{'leaf_size': 5, 'n_neighbors': 10, 'p': 2}",0.9699715261958998
"{'leaf_size': 30, 'n_neighbors': 10, 'p': 2}",0.9699715261958998
"{'leaf_size': 20, 'n_neighbors': 10, 'p': 2}",0.9699715261958998
"{'leaf_size': 25, 'n_neighbors': 10, 'p': 2}",0.9699715261958998
"{'leaf_size': 10, 'n_neighbors': 10, 'p': 2}",0.9699715261958998
"{'leaf_size': 15, 'n_neighbors': 25, 'p': 2}",0.9676962103955272
"{'leaf_size': 20, 'n_neighbors': 25, 'p': 2}",0.9676962103955272
"{'leaf_size': 25, 'n_neighbors': 25, 'p': 2}",0.9676962103955272
"{'leaf_size': 5, 'n_neighbors': 25, 'p': 2}",0.9676962103955272
"{'leaf_size': 10, 'n_neighbors': 25, 'p': 2}",0.9676962103955272
"{'leaf_size': 30, 'n_neighbors': 25, 'p': 2}",0.9676962103955272
"{'leaf_size': 15, 'n_neighbors': 30, 'p': 2}",0.9649663491406087
"{'leaf_size': 20, 'n_neighbors': 30, 'p': 2}",0.9649663491406087
"{'leaf_size': 30, 'n_neighbors': 30, 'p': 2}",0.9649663491406087
"{'leaf_size': 10, 'n_neighbors': 30, 'p': 2}",0.9649663491406087
"{'leaf_size': 25, 'n_neighbors': 30, 'p': 2}",0.9649663491406087
"{'leaf_size': 5, 'n_neighbors': 30, 'p': 2}",0.9649663491406087
"{'leaf_size': 25, 'n_neighbors': 20, 'p': 2}",0.9647385587078072
"{'leaf_size': 15, 'n_neighbors': 20, 'p': 2}",0.9647385587078072
"{'leaf_size': 20, 'n_neighbors': 20, 'p': 2}",0.9647385587078072
"{'leaf_size': 5, 'n_neighbors': 20, 'p': 2}",0.9647385587078072
"{'leaf_size': 30, 'n_neighbors': 20, 'p': 2}",0.9647385587078072
"{'leaf_size': 10, 'n_neighbors': 20, 'p': 2}",0.9647385587078072
"{'leaf_size': 25, 'n_neighbors': 5, 'p': 1}",0.8478168357838062
"{'leaf_size': 30, 'n_neighbors': 5, 'p': 1}",0.8478168357838062
"{'leaf_size': 5, 'n_neighbors': 5, 'p': 1}",0.8478168357838062
"{'leaf_size': 20, 'n_neighbors': 5, 'p': 1}",0.8478168357838062
"{'leaf_size': 10, 'n_neighbors': 5, 'p': 1}",0.8478168357838062
"{'leaf_size': 15, 'n_neighbors': 5, 'p': 1}",0.8478168357838062
"{'leaf_size': 15, 'n_neighbors': 10, 'p': 1}",0.8280249534065023
"{'leaf_size': 5, 'n_neighbors': 10, 'p': 1}",0.8280249534065023
"{'leaf_size': 30, 'n_neighbors': 10, 'p': 1}",0.8280249534065023
"{'leaf_size': 10, 'n_neighbors': 10, 'p': 1}",0.8280249534065023
"{'leaf_size': 25, 'n_neighbors': 10, 'p': 1}",0.8280249534065023
"{'leaf_size': 20, 'n_neighbors': 10, 'p': 1}",0.8280249534065023
"{'leaf_size': 15, 'n_neighbors': 15, 'p': 1}",0.8182434251397804
"{'leaf_size': 10, 'n_neighbors': 15, 'p': 1}",0.8182434251397804
"{'leaf_size': 5, 'n_neighbors': 15, 'p': 1}",0.8182434251397804
"{'leaf_size': 25, 'n_neighbors': 15, 'p': 1}",0.8182434251397804
"{'leaf_size': 30, 'n_neighbors': 15, 'p': 1}",0.8182434251397804
"{'leaf_size': 20, 'n_neighbors': 15, 'p': 1}",0.8182434251397804
"{'leaf_size': 30, 'n_neighbors': 20, 'p': 1}",0.8107335887347276
"{'leaf_size': 5, 'n_neighbors': 20, 'p': 1}",0.8107335887347276
"{'leaf_size': 20, 'n_neighbors': 20, 'p': 1}",0.8107335887347276
"{'leaf_size': 10, 'n_neighbors': 20, 'p': 1}",0.8107335887347276
"{'leaf_size': 25, 'n_neighbors': 20, 'p': 1}",0.8107335887347276
"{'leaf_size': 15, 'n_neighbors': 20, 'p': 1}",0.8107335887347276
"{'leaf_size': 20, 'n_neighbors': 25, 'p': 1}",0.808687616483744
"{'leaf_size': 25, 'n_neighbors': 25, 'p': 1}",0.808687616483744
"{'leaf_size': 5, 'n_neighbors': 25, 'p': 1}",0.808687616483744
"{'leaf_size': 10, 'n_neighbors': 25, 'p': 1}",0.808687616483744
"{'leaf_size': 30, 'n_neighbors': 25, 'p': 1}",0.808687616483744
"{'leaf_size': 15, 'n_neighbors': 25, 'p': 1}",0.808687616483744
"{'leaf_size': 25, 'n_neighbors': 30, 'p': 1}",0.8041385379995859
"{'leaf_size': 20, 'n_neighbors': 30, 'p': 1}",0.8041385379995859
"{'leaf_size': 5, 'n_neighbors': 30, 'p': 1}",0.8041385379995859
"{'leaf_size': 10, 'n_neighbors': 30, 'p': 1}",0.8041385379995859
"{'leaf_size': 15, 'n_neighbors': 30, 'p': 1}",0.8041385379995859
"{'leaf_size': 30, 'n_neighbors': 30, 'p': 1}",0.8041385379995859
